清华大学 603\0.72% 601\0.94% 599\1.08%
北京大学 576\3.44% 577\3.34% 581\2.8%
上海交通大学 592\1.7% 593\1.65% 595\1.44%
复旦大学 573\3.74% 581\2.8% 576\3.44%
浙江大学 538\7.91% 535\8.41% 541\7.47%
南京大学 494\14.13% 498\13.49% 491\14.65%
中国科学技术大学 568\4.32% 568\4.32% 573\3.74%
华中科技大学 462\19.14% 458\19.81% 454\20.53%
武汉大学 459\19.68% 456\20.21% 447\21.87%
西安交通大学 468\18.16% 459\19.68% 444\22.36%
四川大学 480\16.23% 466\18.43% 474\17.23%
中山大学 530\8.99% 538\7.91% 522\10.17%
哈尔滨工业大学 544\7.15% 547\6.77% 552\6.23%
同济大学 519\10.62% 523\10.04% 529\9.16%
北京航空航天大学 502\12.95% 511\11.74% 521\10.3%
东南大学 549\6.55% 552\6.23% 557\5.63%
北京师范大学 503\12.76% 511\11.74% 518\10.82%
北京理工大学 476\16.82% 461\19.3% 473\17.37%
中国人民大学 551\6.32% 552\6.23% 556\5.78%
南开大学 434\24.52% 437\23.95% 442\22.82%
天津大学 419\27.35% 410\29.26% 413\28.6%
山东大学 423\26.62% 420\27.15% 422\26.82%
中南大学 543\7.27% 546\6.88% 552\6.23%
华南理工大学 452\20.87% 452\20.87% 456\20.21%
厦门大学 457\20.05% 441\23.04% 450\21.2%
华东师范大学 460\19.51% 461\19.3% 477\16.68%
电子科技大学 430\25.3% 424\26.43% 419\27.35%
华东理工大学 421\26.98% 417\27.65% 411\29.03%
上海财经大学 521\10.3% 509\12.01% 523\10.04%
上海大学 439\23.52% 430\25.3% 444\22.36%
上海外国语大学 461\19.3% 466\18.43% 471\17.71%
上海理工大学 413\28.6% 419\27.35% 421\26.98%
华东政法大学 401\30.89% 402\30.72% 403\30.49%
上海海事大学 433\24.71% 429\25.43% 438\23.71%
